From_Bus_Number,From_Bus_Name,To_Bus_Number,To_Bus_Name,Line_ID,Length_km,Harmonic_Order,Z0_magnitude,Z0_angle_deg,S11_magnitude,S11_angle_deg,S12_magnitude,S12_angle_deg,S21_magnitude,S21_angle_deg,S22_magnitude,S22_angle_deg,A_real,A_imag,B_real,B_imag,C_real,C_imag,D_real,D_imag
2245,VAVUNIYA-2  220.00,2705,NEWANU-2    220.00,21,55.0,11,61.039189910782675,-0.01131591586531186,0.8325863553482316,156.96638706924847,0.5309991407139117,65.87754466330048,0.5309991407139117,65.87754466330048,0.8325863553482317,156.96638706924847,0.7372701038682746,-0.011640804754601263,0.7670083226778154,-41.25151772402618,0.00021023840441034442,-0.011071824312958885,0.7372701038682746,-0.011640804754601263
2280,MANNAR-2    220.00,2281,NADUKUDA-2  220.00,22,30.0,11,45.08043351755354,-0.020745843205535616,0.8600620317645161,-155.80984515406976,0.4898690204491782,115.28160768706924,0.4898690204491782,115.28160768706924,0.8600620317645161,-155.80984515406976,-0.8367039920681834,-0.0069691010050294145,-0.4887990372960372,-24.695028595686054,-0.00023172180747373813,-0.012151768209526162,-0.8367039920681834,-0.0069691010050294145
2280,MANNAR-2    220.00,2281,NADUKUDA-2  220.00,23,30.0,11,45.08043351755354,-0.020745843205535616,0.8600620317645161,-155.80984515406976,0.4898690204491782,115.28160768706924,0.4898690204491782,115.28160768706924,0.8600620317645161,-155.80984515406976,-0.8367039920681834,-0.0069691010050294145,-0.4887990372960372,-24.695028595686054,-0.00023172180747373813,-0.012151768209526162,-0.8367039920681834,-0.0069691010050294145
2300,KELAN-2     220.00,2570,BIYAG-2     220.00,24,12.5,11,21.082838776522898,-0.09480035080474479,0.6322652678792365,136.3359012275513,0.701332352650747,-140.54200456764787,0.701332352650747,-140.54200456764787,0.6322652678792364,136.3359012275513,-0.9918584467254331,0.0019728113530427284,-0.3171399964936038,2.704843092345248,-0.0007336314893735317,0.006082932344052277,-0.9918584467254331,0.0019728113530427284
2300,KELAN-2     220.00,2570,BIYAG-2     220.00,25,12.5,11,21.082838776522898,-0.09480035080474479,0.6322652678792365,136.3359012275513,0.701332352650747,-140.54200456764787,0.701332352650747,-140.54200456764787,0.6322652678792364,136.3359012275513,-0.9918584467254331,0.0019728113530427284,-0.3171399964936038,2.704843092345248,-0.0007336314893735317,0.006082932344052277,-0.9918584467254331,0.0019728113530427284
2305,KERAWALA_2  220.00,2306,NEW_KERA2   220.00,26,0.5,11,2.1816716868620554,-0.343650087615756,0.9988453083552532,-177.4027354127737,0.04764960179728121,-87.414171294195,0.04764960179728122,-87.414171294195,0.9988453083552531,-177.4027354127737,0.950983535122908,0.0005831604447666185,0.00795890631957751,0.6746404048366965,-2.8199951986582574e-05,0.1417502285289499,0.950983535122908,0.0005831604447666185
2305,KERAWALA_2  220.00,2306,NEW_KERA2   220.00,27,0.5,11,2.1816716868620554,-0.343650087615756,0.9988453083552532,-177.4027354127737,0.04764960179728121,-87.414171294195,0.04764960179728122,-87.414171294195,0.9988453083552531,-177.4027354127737,0.950983535122908,0.0005831604447666185,0.00795890631957751,0.6746404048366965,-2.8199951986582574e-05,0.1417502285289499,0.950983535122908,0.0005831604447666185
2305,KERAWALA_2  220.00,2350,COL_L2      220.00,28,13.5,11,11.323179326742457,-0.012770526336416748,0.8258471339561896,-150.16323550912335,0.5030222188639527,-55.73235655827013,0.5030222188639528,-55.73235655827013,0.8258471339561897,-150.16323550912335,0.9921413138656907,0.0012338500524814297,0.11075837085789761,1.421125395418507,0.0008589118349813655,0.011084361333031346,0.9921413138656907,0.0012338500524814297
2306,NEW_KERA2   220.00,2580,KOTUG-2     220.00,29,18.0,11,34.919161789412165,-0.034576394597404476,0.9195643511868336,-162.12973868249657,0.37767792385630106,108.62165783502817,0.37767792385630106,108.62165783502817,0.9195643511868336,-162.12973868249657,-0.8125592412844906,-0.00574483235536335,-0.29189668526485385,-20.356369186370408,-0.0002192380801323893,-0.016694749159805046,-0.8125592412844906,-0.00574483235536335
2306,NEW_KERA2   220.00,2580,KOTUG-2     220.00,30,18.0,11,34.919161789412165,-0.034576394597404476,0.9195643511868336,-162.12973868249657,0.37767792385630106,108.62165783502817,0.37767792385630106,108.62165783502817,0.9195643511868336,-162.12973868249657,-0.8125592412844906,-0.00574483235536335,-0.29189668526485385,-20.356369186370408,-0.0002192380801323893,-0.016694749159805046,-0.8125592412844906,-0.00574483235536335
